Учасників,Місце,Сума $,Відсоток (із 95%)
100,1,167.81,16.78
100,2,121.2,12.12
100,3,93.23,9.32
100,4,65.26,6.53
100,5,60.6,6.06
100,6,55.94,5.59
100,7,51.28,5.13
100,8,46.61,4.66
100,9,44.75,4.47
100,10,41.95,4.2
100,11,27.97,2.8
100,12,26.1,2.61
100,13,24.24,2.42
100,14,22.37,2.24
100,15,20.51,2.05
100,16,18.65,1.86
100,17,16.78,1.68
100,18,15.85,1.58
100,19,14.92,1.49
100,20,13.98,1.4
99,1,168.62,17.03
99,2,121.78,12.3
99,3,93.68,9.46
99,4,65.57,6.62
99,5,60.89,6.15
99,6,56.21,5.68
99,7,51.52,5.2
99,8,46.84,4.73
99,9,44.96,4.54
99,10,42.15,4.26
99,11,28.1,2.84
99,12,26.23,2.65
99,13,24.36,2.46
99,14,22.48,2.27
99,15,20.61,2.08
99,16,18.74,1.89
99,17,16.86,1.7
99,18,15.92,1.61
99,19,14.99,1.51
98,1,166.91,17.03
98,2,120.55,12.3
98,3,92.73,9.46
98,4,64.91,6.62
98,5,60.27,6.15
98,6,55.64,5.68
98,7,51.0,5.2
98,8,46.36,4.73
98,9,44.51,4.54
98,10,41.73,4.26
98,11,27.82,2.84
98,12,25.96,2.65
98,13,24.11,2.46
98,14,22.25,2.27
98,15,20.4,2.08
98,16,18.55,1.89
98,17,16.69,1.7
98,18,15.76,1.61
98,19,14.84,1.51
97,1,165.21,17.03
97,2,119.32,12.3
97,3,91.78,9.46
97,4,64.25,6.62
97,5,59.66,6.15
97,6,55.07,5.68
97,7,50.48,5.2
97,8,45.89,4.73
97,9,44.06,4.54
97,10,41.3,4.26
97,11,27.53,2.84
97,12,25.7,2.65
97,13,23.86,2.46
97,14,22.03,2.27
97,15,20.19,2.08
97,16,18.36,1.89
97,17,16.52,1.7
97,18,15.6,1.61
97,19,14.69,1.51
96,1,163.51,17.03
96,2,118.09,12.3
96,3,90.84,9.46
96,4,63.59,6.62
96,5,59.04,6.15
96,6,54.5,5.68
96,7,49.96,5.2
96,8,45.42,4.73
96,9,43.6,4.54
96,10,40.88,4.26
96,11,27.25,2.84
96,12,25.43,2.65
96,13,23.62,2.46
96,14,21.8,2.27
96,15,19.98,2.08
96,16,18.17,1.89
96,17,16.35,1.7
96,18,15.44,1.61
96,19,14.53,1.51
95,1,161.8,17.03
95,2,116.86,12.3
95,3,89.89,9.46
95,4,62.92,6.62
95,5,58.43,6.15
95,6,53.93,5.68
95,7,49.44,5.2
95,8,44.95,4.73
95,9,43.15,4.54
95,10,40.45,4.26
95,11,26.97,2.84
95,12,25.17,2.65
95,13,23.37,2.46
95,14,21.57,2.27
95,15,19.78,2.08
95,16,17.98,1.89
95,17,16.18,1.7
95,18,15.28,1.61
95,19,14.38,1.51
94,1,162.69,17.31
94,2,117.5,12.5
94,3,90.38,9.61
94,4,63.27,6.73
94,5,58.75,6.25
94,6,54.23,5.77
94,7,49.71,5.29
94,8,45.19,4.81
94,9,43.38,4.61
94,10,40.67,4.33
94,11,27.12,2.89
94,12,25.31,2.69
94,13,23.5,2.5
94,14,21.69,2.31
94,15,19.88,2.11
94,16,18.08,1.92
94,17,16.27,1.73
94,18,15.37,1.64
93,1,160.96,17.31
93,2,116.25,12.5
93,3,89.42,9.62
93,4,62.6,6.73
93,5,58.12,6.25
93,6,53.65,5.77
93,7,49.18,5.29
93,8,44.71,4.81
93,9,42.92,4.62
93,10,40.24,4.33
93,11,26.83,2.88
93,12,25.04,2.69
93,13,23.25,2.5
93,14,21.46,2.31
93,15,19.67,2.12
93,16,17.88,1.92
93,17,16.1,1.73
93,18,15.2,1.63
92,1,159.23,17.31
92,2,115.0,12.5
92,3,88.46,9.62
92,4,61.92,6.73
92,5,57.5,6.25
92,6,53.08,5.77
92,7,48.65,5.29
92,8,44.23,4.81
92,9,42.46,4.62
92,10,39.81,4.33
92,11,26.54,2.88
92,12,24.77,2.69
92,13,23.0,2.5
92,14,21.23,2.31
92,15,19.46,2.12
92,16,17.69,1.92
92,17,15.92,1.73
92,18,15.04,1.63
91,1,157.5,17.31
91,2,113.75,12.5
91,3,87.5,9.62
91,4,61.25,6.73
91,5,56.88,6.25
91,6,52.5,5.77
91,7,48.12,5.29
91,8,43.75,4.81
91,9,42.0,4.62
91,10,39.38,4.33
91,11,26.25,2.88
91,12,24.5,2.69
91,13,22.75,2.5
91,14,21.0,2.31
91,15,19.25,2.12
91,16,17.5,1.92
91,17,15.75,1.73
91,18,14.88,1.64
90,1,155.77,17.31
90,2,112.5,12.5
90,3,86.54,9.62
90,4,60.58,6.73
90,5,56.25,6.25
90,6,51.92,5.77
90,7,47.6,5.29
90,8,43.27,4.81
90,9,41.54,4.62
90,10,38.94,4.33
90,11,25.96,2.88
90,12,24.23,2.69
90,13,22.5,2.5
90,14,20.77,2.31
90,15,19.04,2.12
90,16,17.31,1.92
90,17,15.58,1.73
90,18,14.71,1.63
89,1,156.74,17.61
89,2,113.2,12.72
89,3,87.08,9.78
89,4,60.95,6.85
89,5,56.6,6.36
89,6,52.25,5.87
89,7,47.89,5.38
89,8,43.54,4.89
89,9,41.8,4.7
89,10,39.18,4.4
89,11,26.12,2.93
89,12,24.38,2.74
89,13,22.64,2.54
89,14,20.9,2.35
89,15,19.16,2.15
89,16,17.42,1.96
89,17,15.67,1.76
88,1,154.97,17.61
88,2,111.93,12.72
88,3,86.1,9.78
88,4,60.27,6.85
88,5,55.96,6.36
88,6,51.66,5.87
88,7,47.35,5.38
88,8,43.05,4.89
88,9,41.33,4.7
88,10,38.74,4.4
88,11,25.83,2.94
88,12,24.11,2.74
88,13,22.39,2.54
88,14,20.66,2.35
88,15,18.94,2.15
88,16,17.22,1.96
88,17,15.5,1.76
87,1,153.21,17.61
87,2,110.65,12.72
87,3,85.12,9.78
87,4,59.58,6.85
87,5,55.33,6.36
87,6,51.07,5.87
87,7,46.82,5.38
87,8,42.56,4.89
87,9,40.86,4.7
87,10,38.3,4.4
87,11,25.54,2.94
87,12,23.83,2.74
87,13,22.13,2.54
87,14,20.43,2.35
87,15,18.73,2.15
87,16,17.02,1.96
87,17,15.32,1.76
86,1,151.45,17.61
86,2,109.38,12.72
86,3,84.14,9.78
86,4,58.9,6.85
86,5,54.69,6.36
86,6,50.48,5.87
86,7,46.28,5.38
86,8,42.07,4.89
86,9,40.39,4.7
86,10,37.86,4.4
86,11,25.24,2.93
86,12,23.56,2.74
86,13,21.88,2.54
86,14,20.19,2.35
86,15,18.51,2.15
86,16,16.83,1.96
86,17,15.15,1.76
85,1,149.69,17.61
85,2,108.11,12.72
85,3,83.16,9.78
85,4,58.21,6.85
85,5,54.06,6.36
85,6,49.9,5.87
85,7,45.74,5.38
85,8,41.58,4.89
85,9,39.92,4.7
85,10,37.42,4.4
85,11,24.95,2.94
85,12,23.29,2.74
85,13,21.62,2.54
85,14,19.96,2.35
85,15,18.3,2.15
85,16,16.63,1.96
85,17,14.97,1.76
84,1,150.72,17.94
84,2,108.86,12.96
84,3,83.74,9.97
84,4,58.61,6.98
84,5,54.43,6.48
84,6,50.24,5.98
84,7,46.05,5.48
84,8,41.87,4.98
84,9,40.19,4.78
84,10,37.68,4.49
84,11,25.12,2.99
84,12,23.45,2.79
84,13,21.77,2.59
84,14,20.1,2.39
84,15,18.42,2.19
84,16,16.75,1.99
83,1,148.93,17.94
83,2,107.56,12.96
83,3,82.74,9.97
83,4,57.92,6.98
83,5,53.78,6.48
83,6,49.64,5.98
83,7,45.51,5.48
83,8,41.37,4.98
83,9,39.71,4.78
83,10,37.23,4.49
83,11,24.82,2.99
83,12,23.17,2.79
83,13,21.51,2.59
83,14,19.86,2.39
83,15,18.2,2.19
83,16,16.55,1.99
